period,our_price,demand,revenue,competitor_1_price,competitor_1_model,competitor_2_price,competitor_2_model,competitor_3_price,competitor_3_model
1,51,25,1275,50,follower,43,aggressive,59,cyclic
2,51,27,1377,48,follower,43,aggressive,67,cyclic
3,52,30,1560,48,follower,44,aggressive,74,cyclic
4,54,28,1512,49,follower,45,aggressive,78,cyclic
5,56,17,952,51,follower,47,aggressive,80,cyclic
6,58,19,1102,53,follower,49,aggressive,78,cyclic
7,60,23,1380,55,follower,51,aggressive,74,cyclic
8,60,19,1140,57,follower,51,aggressive,67,cyclic
9,59,19,1121,57,follower,50,aggressive,59,cyclic
10,56,21,1176,56,follower,47,aggressive,50,cyclic
11,52,12,624,53,follower,44,aggressive,40,cyclic
12,47,25,1175,49,follower,39,aggressive,32,cyclic
13,41,28,1148,44,follower,34,aggressive,25,cyclic
14,35,33,1155,38,follower,29,aggressive,21,cyclic
15,31,35,1085,33,follower,26,aggressive,20,cyclic
16,28,35,980,29,follower,23,aggressive,21,cyclic
17,25,46,1150,26,follower,21,aggressive,25,cyclic
18,24,32,768,23,follower,20,aggressive,32,cyclic
19,25,43,1075,22,follower,21,aggressive,40,cyclic
20,28,52,1456,23,follower,23,aggressive,50,cyclic
21,31,45,1395,26,follower,26,aggressive,59,cyclic
22,36,26,936,29,follower,30,aggressive,67,cyclic
23,41,34,1394,34,follower,34,aggressive,74,cyclic
24,46,29,1334,38,follower,39,aggressive,78,cyclic
25,51,27,1377,43,follower,43,aggressive,80,cyclic
26,54,34,1836,48,follower,45,aggressive,78,cyclic
27,56,24,1344,51,follower,47,aggressive,74,cyclic
28,57,21,1197,53,follower,48,aggressive,67,cyclic
29,56,30,1680,54,follower,47,aggressive,59,cyclic
30,54,25,1350,53,follower,45,aggressive,50,cyclic
31,50,34,1700,51,follower,42,aggressive,40,cyclic
32,45,37,1665,47,follower,38,aggressive,32,cyclic
33,40,39,1560,42,follower,34,aggressive,25,cyclic
34,35,44,1540,38,follower,29,aggressive,21,cyclic
35,31,35,1085,33,follower,26,aggressive,20,cyclic
36,28,46,1288,29,follower,23,aggressive,21,cyclic
37,25,36,900,26,follower,21,aggressive,25,cyclic
38,24,46,1104,23,follower,20,aggressive,32,cyclic
39,25,47,1175,22,follower,21,aggressive,40,cyclic
40,28,49,1372,23,follower,23,aggressive,50,cyclic
41,31,30,930,26,follower,26,aggressive,59,cyclic
42,36,35,1260,29,follower,30,aggressive,67,cyclic
43,41,27,1107,34,follower,34,aggressive,74,cyclic
44,46,34,1564,38,follower,39,aggressive,78,cyclic
45,51,25,1275,43,follower,43,aggressive,80,cyclic
46,54,25,1350,48,follower,45,aggressive,78,cyclic
47,56,26,1456,51,follower,47,aggressive,74,cyclic
48,57,20,1140,53,follower,48,aggressive,67,cyclic
49,56,25,1400,54,follower,47,aggressive,59,cyclic
50,54,32,1728,53,follower,45,aggressive,50,cyclic
